Team,#,Pos.,FIFA Popular Name,Birth Date,Shirt Name,Club,Height,Weight
Russia,18,MF,ZHIRKOV Yury,20.08.1983,ZHIRKOV,FC Zenit St. Petersburg (RUS),180,76
Russia,11,MF,ZOBNIN Roman,11.02.1994,ZOBNIN,FC Spartak Moscow (RUS),185,77
Russia,15,MF,MIRANCHUK Alexey,17.10.1995,MIRANCHUK AL.,FC Lokomotiv Moscow (RUS),185,77
Russia,13,DF,KUDRIASHOV Fedor,05.04.1987,KUDRIASHOV,FC Rubin Kazan (RUS),187,78
Russia,2,DF,MARIO FERNANDES,19.09.1990,FERNANDES,CSKA Moscow (RUS),187,79
Russia,10,FW,SMOLOV Fedor,09.02.1990,SMOLOV,FC Krasnodar (RUS),185,79
Russia,21,MF,EROKHIN Aleksandr,13.10.1989,EROKHIN,FC Zenit St. Petersburg (RUS),191,79
Russia,12,GK,LUNEV Andrei,13.11.1991,LUNEV,FC Zenit St. Petersburg (RUS),189,80
Russia,14,DF,GRANAT Vladimir,22.05.1987,GRANAT,FC Rubin Kazan (RUS),184,80
Russia,20,GK,GABULOV Vladimir,19.10.1983,GABULOV,Club Brugge KV (BEL),190,81
Russia,3,DF,KUTEPOV Ilya,29.07.1993,KUTEPOV,FC Spartak Moscow (RUS),190,82
Russia,1,GK,AKINFEEV Igor,08.04.1986,AKINFEEV,CSKA Moscow (RUS),185,83
Russia,4,DF,IGNASHEVICH Sergey,14.07.1979,IGNASHEVICH,CSKA Moscow (RUS),186,84
Russia,5,DF,SEMENOV Andrey,24.03.1989,SEMENOV,FC Akhmat Grozny (RUS),191,87
Russia,22,FW,DZYUBA Artem,22.08.1988,DZYUBA,FC Arsenal Tula (RUS),196,90
Saudi Arabia,6,DF,MOHAMMED ALBURAYK,15.09.1992,ALBURAYK,Al Hilal SFC (KSA),173,61
Saudi Arabia,7,MF,SALMAN ALFARAJ,01.08.1989,SALMAN,Al Hilal SFC (KSA),179,63
Saudi Arabia,8,MF,YAHIA ALSHEHRI,26.06.1990,YAHIA,CD Leganés (ESP),165,63
Saudi Arabia,13,DF,YASIR ALSHAHRANI,25.05.1992,YASIR,Al Hilal SFC (KSA),170,63
Saudi Arabia,19,FW,FAHAD ALMUWALLAD,14.09.1994,FAHAD,Levante UD (ESP),168,65
Saudi Arabia,9,MF,HATAN BAHBIR,16.07.1992,HATAN,Al Shabab FC (KSA),170,66
Saudi Arabia,14,MF,ABDULLAH OTAYF,03.08.1992,OTAYF,Al Hilal SFC (KSA),177,66
Saudi Arabia,15,MF,ABDULLAH ALKHAIBARI,16.08.1996,ALKHAIBARI,Al Shabab FC (KSA),175,66
Saudi Arabia,2,DF,MANSOUR ALHARBI,19.10.1987,MANSOUR,Al Ahli SC (KSA),173,68
Saudi Arabia,18,MF,SALEM ALDAWSARI,19.08.1991,SALEM,Villarreal CF (ESP),174,68
Saudi Arabia,17,MF,TAISEER ALJASSAM,25.07.1984,TAISEER,Al Ahli SC (KSA),169,69
Saudi Arabia,11,MF,ABDULMALEK ALKHAIBRI,13.03.1986,ABDULMALEK,Al Hilal SFC (KSA),177,73
Saudi Arabia,12,MF,MOHAMED KANNO,22.09.1994,KANNO,Al Hilal SFC (KSA),192,73
Saudi Arabia,10,FW,MOHAMMED ALSAHLAWI,10.01.1987,ALSAHLAWI,Al Nassr FC (KSA),179,75
Saudi Arabia,5,DF,OMAR OTHMAN,27.09.1985,OMAR,Al Nassr FC (KSA),185,76
Saudi Arabia,16,MF,HUSSAIN ALMOQAHWI,24.03.1988,HUSSAIN,Al Ahli SC (KSA),174,76
Saudi Arabia,20,FW,MUHANNAD ASIRI,14.10.1986,MUHANNAD,Al Ahli SC (KSA),185,79
Saudi Arabia,22,GK,MOHAMMED ALOWAIS,10.10.1991,ALOWAIS,Al Ahli SC (KSA),187,79
Saudi Arabia,23,DF,MOTAZ HAWSAWI,17.02.1992,MOTAZ,Al Ahli SC (KSA),180,79
Saudi Arabia,3,DF,OSAMA HAWSAWI,31.03.1984,OSAMA,Al Hilal SFC (KSA),188,83
Saudi Arabia,4,DF,ALI ALBULAYHI,21.11.1989,ALI,Al Hilal SFC (KSA),182,83
Saudi Arabia,21,GK,YASSER ALMOSAILEM,27.02.1984,ALMOSAILEM,Al Ahli SC (KSA),186,88
Saudi Arabia,1,GK,ABDULLAH ALMUAIOUF,23.01.1987,ABDULLAH,Al Hilal SFC (KSA),178,98
Senegal,5,MF,GUEYE Idrissa Gana,26.09.1989,GANA,Everton FC (ENG),174,64
Senegal,2,DF,CISS Saliou,15.06.1989,CISS,Valenciennes FC (FRA),173,69
Senegal,10,FW,MANE Sadio,10.04.1992,MANE,Liverpool FC (ENG),175,69
Senegal,18,FW,SARR Ismaila,25.02.1998,ISMAÏLA,Stade Rennais FC (FRA),175,70
Senegal,22,DF,WAGUE Moussa,04.10.1998,M. WAGUE,KAS Eupen (BEL),177,70
Senegal,12,DF,SABALY Youssouf,05.03.1993,SABALY,FC Girondins Bordeaux (FRA),174,71
Senegal,17,MF,NDIAYE Pape Alioune,27.10.1990,P.A. NDIAYE,Stoke City FC (ENG),181,74
Senegal,19,FW,NIANG Mbaye,19.12.1994,NIANG,Torino FC (ITA),184,74
Senegal,21,DF,GASSAMA Lamine,20.10.1989,GASSAMA,Adanaspor (TUR),181,74
Senegal,7,FW,SOW Moussa,19.01.1986,SOW,Bursaspor (TUR),180,75
Senegal,8,MF,KOUYATE Cheikhou,21.12.1989,C. KOUYATE,West Ham United FC (ENG),189,75
Senegal,20,FW,BALDE Keita,08.03.1995,KEÏTA BALDE,AS Monaco (FRA),181,77
Senegal,14,FW,KONATE Moussa,03.04.1993,KONATE,Amiens SC (FRA),180,78
Senegal,1,GK,DIALLO Abdoulaye,30.03.1992,DIALLO,Stade Rennais FC (FRA),189,79
Senegal,15,FW,SAKHO Diafra,24.12.1989,SAKHO,Stade Rennais FC (FRA),184,79
Senegal,13,MF,NDIAYE Alfred,06.03.1990,A. NDIAYE,Wolverhampton Wanderers FC (ENG),186,80
Senegal,16,GK,NDIAYE Khadim,05.04.1985,KH. NDIAYE,Horoya AC (GUI),185,80
Senegal,23,GK,GOMIS Alfred,05.09.1993,GOMIS,SPAL Ferrara (ITA),196,80
Senegal,9,FW,DIOUF Mame,16.12.1987,M. DIOUF,Stoke City FC (ENG),185,81
Senegal,6,MF,SANE Salif,25.08.1990,S. SANE,Hannover 96 (GER),196,84
Senegal,4,DF,MBODJI Kara,22.11.1989,KARA,RSC Anderlecht (BEL),192,85
Senegal,3,DF,KOULIBALY Kalidou,20.06.1991,KOULIBALY,SSC Napoli (ITA),195,89
Senegal,11,MF,NDOYE Cheikh,29.03.1986,CH. NDOYE,Birmingham City FC (ENG),192,90
Serbia,7,MF,ZIVKOVIC Andrija,11.07.1996,ŽIVKOVIĆ,SL Benfica (POR),169,68
Serbia,14,DF,RODIC Milan,02.04.1991,RODIĆ,FK Crvena Zvezda (SRB),185,69
Serbia,2,DF,RUKAVINA Antonio,26.01.1984,RUKAVINA,Villarreal CF (ESP),177,71
Serbia,22,MF,LJAJIC Adem,29.09.1991,LJAJIĆ,Torino FC (ITA),182,74
Serbia,19,FW,JOVIC Luka,23.12.1997,JOVIĆ,Eintracht Frankfurt (GER),181,75
Serbia,10,MF,TADIC Dusan,20.11.1988,TADIĆ,Southampton FC (ENG),181,76
Serbia,18,FW,RADONJIC Nemanja,15.02.1996,RADONJIĆ,FK Crvena Zvezda (SRB),185,76
Serbia,20,MF,MILINKOVIC-SAVIC Sergej,27.02.1995,SERGEJ,SS Lazio (ITA),192,76
Serbia,13,DF,VELJKOVIC Milos,26.09.1995,VELJKOVIĆ,SV Werder Bremen (GER),188,77
Serbia,3,DF,TOSIC Dusko,19.01.1985,TOŠIĆ,Besiktas JK (TUR),185,79
Serbia,4,MF,MILIVOJEVIC Luka,07.04.1991,MILIVOJEVIĆ,Crystal Palace FC (ENG),186,80
Serbia,5,DF,SPAJIC Uros,13.02.1993,SPAJIĆ,RSC Anderlecht (BEL),188,82
Serbia,9,FW,MITROVIC Aleksandar,16.09.1994,MITROVIĆ,Fulham FC (ENG),189,82
Serbia,16,MF,GRUJIC Marko,13.04.1996,GRUJIĆ,Cardiff City FC (WAL),190,82
Serbia,17,MF,KOSTIC Filip,01.11.1992,KOSTIĆ,Hamburger SV (GER),184,82
Serbia,11,DF,KOLAROV Aleksandar,10.11.1985,KOLAROV,AS Roma (ITA),187,83
Serbia,12,GK,RAJKOVIC Predrag,31.10.1995,RAJKOVIĆ,Maccabi Tel-Aviv FC (ISR),191,85
Serbia,21,MF,MATIC Nemanja,01.08.1988,MATIĆ,Manchester United FC (ENG),194,86
Serbia,8,FW,PRIJOVIC Aleksandar,21.04.1990,PRIJOVIĆ,PAOK FC (GRE),191,88
Serbia,6,DF,IVANOVIC Branislav,22.02.1984,IVANOVIĆ,FC Zenit St. Petersburg (RUS),185,89
Serbia,15,DF,MILENKOVIC Nikola,12.10.1997,MILENKOVIĆ,ACF Fiorentina (ITA),195,90
Serbia,23,GK,DMITROVIC Marko,24.01.1992,DMITROVIĆ,SD Eibar (ESP),194,90
Serbia,1,GK,STOJKOVIC Vladimir,28.07.1983,STOJKOVIĆ,FK Partizan (SRB),195,92
Spain,12,DF,ODRIOZOLA Alvaro,14.12.1995,ODRIOZOLA,Real Sociedad (ESP),178,67
Spain,17,FW,ASPAS Iago,01.08.1987,IAGO ASPAS,Celta Vigo (ESP),176,67
Spain,21,FW,SILVA David,08.01.1986,SILVA,Manchester City FC (ENG),170,67
Spain,6,MF,INIESTA Andres,11.05.1984,A. INIESTA,FC Barcelona (ESP),171,68
Spain,18,DF,ALBA Jordi,21.03.1989,JORDI ALBA,FC Barcelona (ESP),170,68
Spain,10,MF,THIAGO,11.04.1991,THIAGO,FC Bayern München (GER),174,70
Spain,11,FW,VAZQUEZ Lucas,01.07.1991,LUCAS V.,Real Madrid CF (ESP),173,70
Spain,1,GK,DE GEA David,07.11.1990,DE GEA,Manchester United FC (ENG),190,71
Spain,9,FW,RODRIGO,06.03.1991,RODRIGO M.,Valencia CF (ESP),182,72
Spain,16,DF,MONREAL Nacho,26.02.1986,MONREAL,Arsenal FC (ENG),179,72
Spain,2,DF,CARVAJAL Dani,11.01.1992,CARVAJAL,Real Madrid CF (ESP),173,73
Spain,8,MF,KOKE,08.01.1992,KOKE,Atletico Madrid (ESP),176,73
Spain,22,MF,ISCO,21.04.1992,ISCO,Real Madrid CF (ESP),176,74
Spain,15,DF,RAMOS Sergio,30.03.1986,RAMOS,Real Madrid CF (ESP),183,75
Spain,7,MF,SAUL,21.11.1994,SAÚL,Atletico Madrid (ESP),183,76
Spain,20,MF,ASENSIO Marco,21.01.1996,ASENSIO,Real Madrid CF (ESP),182,76
Spain,4,DF,NACHO,18.01.1990,NACHO,Real Madrid CF (ESP),179,77
Spain,5,MF,BUSQUETS Sergio,16.07.1988,SERGIO,FC Barcelona (ESP),189,78
Spain,14,DF,AZPILICUETA Cesar,28.08.1989,AZPILICUETA,Chelsea FC (ENG),178,78
Spain,13,GK,ARRIZABALAGA Kepa,03.10.1994,ARRIZABALAGA,Athletic Bilbao (ESP),189,84
Spain,3,DF,PIQUE Gerard,02.02.1987,PIQUÉ,FC Barcelona (ESP),194,85
Spain,19,FW,COSTA Diego,07.10.1988,DIEGO COSTA,Atletico Madrid (ESP),185,86
Spain,23,GK,REINA Pepe,31.08.1982,REINA,SSC Napoli (ITA),188,92
Sweden,21,MF,DURMAZ Jimmy,22.03.1989,DURMAZ,Toulouse FC (FRA),180,69
Sweden,7,MF,LARSSON Sebastian,06.06.1985,LARSSON,Hull City FC (ENG),178,70
Sweden,16,DF,KRAFTH Emil,02.08.1994,KRAFTH,Bologna FC (ITA),181,72
Sweden,15,MF,HILJEMARK Oscar,28.06.1992,HILJEMARK,Genoa CFC (ITA),184,73
Sweden,8,MF,EKDAL Albin,28.07.1989,EKDAL,Hamburger SV (GER),186,75
Sweden,6,DF,AUGUSTINSSON Ludwig,21.04.1994,AUGUSTINSSON,SV Werder Bremen (GER),181,76
Sweden,9,FW,BERG Marcus,17.08.1986,BERG,Al Ain FC (UAE),183,76
Sweden,19,MF,ROHDEN Marcus,11.05.1991,ROHDÉN,FC Crotone (ITA),182,76
Sweden,2,DF,LUSTIG Mikael,13.12.1986,LUSTIG,Celtic FC (SCO),189,77
Sweden,13,MF,SVENSSON Gustav,07.02.1987,SVENSSON,Seattle Sounders FC (USA),183,77
Sweden,10,MF,FORSBERG Emil,23.10.1991,FORSBERG,RB Leipzig (GER),179,78
Sweden,20,FW,TOIVONEN Ola,03.07.1986,TOIVONEN,Toulouse FC (FRA),192,78
Sweden,11,FW,GUIDETTI John,15.04.1992,GUIDETTI,Deportivo Alavés (ESP),185,79
Sweden,17,MF,CLAESSON Viktor,02.01.1992,CLAESSON,FC Krasnodar (RUS),183,79
Sweden,3,DF,LINDELOF Victor,17.07.1994,LINDELÖF,Manchester United FC (ENG),187,81
Sweden,5,DF,OLSSON Martin,17.05.1988,OLSSON,Swansea City AFC (WAL),177,81
Sweden,12,GK,JOHNSSON Karl-Johan,28.01.1990,JOHNSSON,EA Guingamp (FRA),187,83
Sweden,14,DF,HELANDER Filip,22.04.1993,HELANDER,Bologna FC (ITA),192,83
Sweden,22,FW,THELIN Isaac Kiese,24.06.1992,KIESE THELIN,KV Waasland-Beveren (BEL),189,83
Sweden,4,DF,GRANQVIST Andreas,16.04.1985,GRANQVIST,FC Krasnodar (RUS),192,84
Sweden,23,GK,NORDFELDT Kristoffer,23.06.1989,NORDFELDT,Swansea City AFC (WAL),190,85
Sweden,1,GK,OLSEN Robin,08.01.1990,OLSEN,FC Kobenhavn (DEN),198,89
Sweden,18,DF,JANSSON Pontus,13.02.1991,JANSSON,Leeds United FC (ENG),194,89
Switzerland,16,MF,FERNANDES Gelson,02.09.1986,G. FERNANDES,Eintracht Frankfurt (GER),180,72
Switzerland,8,MF,FREULER Remo,15.04.1992,FREULER,Atalanta Bergamo (ITA),181,75
Switzerland,18,FW,GAVRANOVIC Mario,24.11.1989,GAVRANOVIC,GNK Dinamo Zagreb (CRO),175,75
Switzerland,3,DF,MOUBANDJE Francois,21.06.1990,MOUBANDJE,Toulouse FC (FRA),180,76
Switzerland,2,DF,LICHTSTEINER Stephan,16.01.1984,LICHTSTEINER,Juventus FC (ITA),181,77
Switzerland,4,DF,ELVEDI Nico,30.09.1996,ELVEDI,VfL Borussia Mönchengladbach (GER),187,77
Switzerland,15,MF,DZEMAILI Blerim,12.04.1986,DZEMAILI,Bologna FC (ITA),180,77
Switzerland,17,MF,ZAKARIA Denis,20.11.1996,ZAKARIA,VfL Borussia Mönchengladbach (GER),189,77
Switzerland,6,DF,LANG Michael,08.02.1991,LANG,FC Basel (SUI),185,78
Switzerland,11,MF,BEHRAMI Valon,19.04.1985,BEHRAMI,Udinese Calcio (ITA),184,78
Switzerland,19,FW,DRMIC Josip,08.08.1992,DRMIC,VfL Borussia Mönchengladbach (GER),184,78
Switzerland,23,MF,SHAQIRI Xherdan,10.10.1991,SHAQIRI,Stoke City FC (ENG),165,78
Switzerland,13,DF,RODRIGUEZ Ricardo,25.08.1992,RODRIGUEZ,AC Milan (ITA),180,79
Switzerland,14,MF,ZUBER Steven,17.08.1991,ZUBER,TSG 1899 Hoffenheim (GER),182,79
Switzerland,1,GK,SOMMER Yann,17.12.1988,SOMMER,VfL Borussia Mönchengladbach (GER),183,81
Switzerland,10,MF,XHAKA Granit,27.09.1992,XHAKA,Arsenal FC (ENG),183,82
Switzerland,21,GK,BUERKI Roman,14.11.1990,BÜRKI,Borussia Dortmund (GER),188,83
Switzerland,22,DF,SCHAER Fabian,20.12.1991,SCHÄR,Deportivo La Coruña (ESP),186,83
Switzerland,12,GK,MVOGO Yvon,06.06.1994,MVOGO,RB Leipzig (GER),186,84
Switzerland,5,DF,AKANJI Manuel,19.07.1995,AKANJI,Borussia Dortmund (GER),186,85
Switzerland,7,FW,EMBOLO Breel,14.02.1997,EMBOLO,FC Schalke 04 (GER),184,86
Switzerland,9,FW,SEFEROVIC Haris,22.02.1992,SEFEROVIC,SL Benfica (POR),186,88
Switzerland,20,DF,DJOUROU Johan,18.01.1987,DJOUROU,Antalyaspor AS (TUR),192,90
Tunisia,23,FW,SLITI Naim,27.07.1992,SLITI,Dijon FCO (FRA),173,65
Tunisia,17,MF,SKHIRI Ellyes,10.05.1995,SKHIRI JORIS,Montpellier HSC (FRA),185,69
Tunisia,4,DF,MERIAH Yassine,02.07.1993,MERIAH,CS Sfaxien (TUN),183,70
Tunisia,9,MF,BADRI Anice,18.09.1990,BADRI,ES Tunis (TUN),178,70
Tunisia,20,FW,CHAALELI Ghaylen,28.02.1994,CHAALELI,ES Tunis (TUN),179,70
Tunisia,22,GK,HASSEN Mouez,05.03.1995,HASSEN,LB Chateauroux (FRA),186,70
Tunisia,18,FW,SRARFI Bassem,25.06.1997,SRARFI,OGC Nice (FRA),176,71
Tunisia,12,DF,MAALOUL Ali,01.01.1990,MAALOUL,Al Ahly SC (EGY),170,72
Tunisia,19,FW,KHALIFA Saber,14.10.1986,KHALIFA,Club Africain (TUN),185,72
Tunisia,3,DF,BEN ALOUANE Yohan,28.03.1987,BEN ALOUANE,Leicester City FC (ENG),185,75
Tunisia,11,DF,BRONN Dylan,19.06.1995,BRONN,KAA Gent (BEL),186,75
Tunisia,14,MF,BEN AMOR Mohamed,03.05.1992,BEN AMOR,Al Ahli SC (KSA),180,75
Tunisia,15,FW,KHALIL Ahmed,21.12.1994,KHALIL,Club Africain (TUN),187,75
Tunisia,21,DF,NAGUEZ Hamdi,28.10.1992,NAGUEZ,Zamalek (EGY),186,75
Tunisia,5,DF,HADDADI Oussama,28.01.1992,HADDADI,Dijon FCO (FRA),185,76
Tunisia,7,FW,KHAOUI Saifeddine,27.04.1995,KHAOUI,ES Troyes (FRA),180,76
Tunisia,10,FW,KHAZRI Wahbi,08.02.1991,KHAZRI,Stade Rennais FC (FRA),182,76
Tunisia,6,DF,BEDOUI Rami,19.01.1990,BEDOUI,Étoile du Sahel (TUN),187,77
Tunisia,8,FW,BEN YOUSSEF Fakhreddine,23.06.1991,BEN YOUSSEF .F,Al Ittifaq FC (KSA),189,80
Tunisia,13,MF,SASSI Ferjani,18.03.1992,SASSI,Al Nassr FC (KSA),186,80
Tunisia,16,GK,MATHLOUTHI Aymen,14.09.1984,MATHLOUTHI .A,Al Batin FC (KSA),182,84
Tunisia,1,GK,BEN MUSTAPHA Farouk,01.07.1989,BEN MUSTAPHA,Al Shabab FC (KSA),192,85
Tunisia,2,DF,BEN YOUSSEF Syam,31.03.1989,BEN YOUSSEF .S,Kasimpasa SK (TUR),189,87
Uruguay,8,MF,NANDEZ Nahitan,28.12.1995,NANDEZ,CA Boca Juniors (ARG),171,61
Uruguay,14,MF,TORREIRA Lucas,11.02.1996,TORREIRA,UC Sampdoria (ITA),168,61
Uruguay,10,FW,DE ARRASCAETA Giorgian,01.06.1994,DE ARRASCAETA,Cruzeiro EC (BRA),172,64
Uruguay,17,MF,LAXALT Diego,07.02.1993,LAXALT,Genoa CFC (ITA),178,66
Uruguay,20,FW,URRETAVISCAYA Jonathan,19.03.1990,URRETAVISCAYA,CF Monterrey (MEX),172,66
Uruguay,4,DF,VARELA Guillermo,24.03.1993,VARELA,CA Penarol (URU),173,70
Uruguay,3,DF,GODIN Diego,16.02.1986,GODIN,Atletico Madrid (ESP),185,73
Uruguay,6,MF,BENTANCUR Rodrigo,25.06.1997,BENTANCUR,Juventus FC (ITA),187,73
Uruguay,16,DF,PEREIRA Maximiliano,08.06.1984,M. PEREIRA,FC Porto (POR),173,73
Uruguay,1,GK,MUSLERA Fernando,16.06.1986,MUSLERA,Galatasaray SK (TUR),190,74
Uruguay,5,MF,SANCHEZ Carlos,02.12.1984,SANCHEZ,CF Monterrey (MEX),171,74
Uruguay,13,DF,SILVA Gaston,05.03.1994,G. SILVA,CA Independiente (ARG),185,74
Uruguay,22,DF,CACERES Martin,07.04.1987,CACERES,SS Lazio (ITA),178,75
Uruguay,2,DF,GIMENEZ Jose,20.01.1995,J.M. GIMENEZ,Atletico Madrid (ESP),185,77
Uruguay,11,FW,STUANI Cristhian,12.10.1986,STUANI,Girona FC (ESP),186,78
Uruguay,21,FW,CAVANI Edinson,14.02.1987,CAVANI,Paris Saint-Germain FC (FRA),188,78
Uruguay,7,MF,RODRIGUEZ Cristian,30.09.1985,C. RODRIGUEZ,CA Penarol (URU),178,79
Uruguay,12,GK,CAMPANA Martin,29.05.1989,CAMPAÑA,CA Independiente (ARG),184,79
Uruguay,15,MF,VECINO Matias,24.08.1991,VECINO,FC Internazionale (ITA),189,80
Uruguay,23,GK,SILVA Martin,25.03.1983,M. SILVA,CR Vasco da Gama (BRA),187,82
Uruguay,9,FW,SUAREZ Luis,24.01.1987,SUAREZ,FC Barcelona (ESP),182,85
Uruguay,18,FW,GOMEZ Maximiliano,14.08.1996,M. GOMEZ,Celta Vigo (ESP),186,85
Uruguay,19,DF,COATES Sebastian,07.10.1990,COATES,Sporting CP (POR),196,89
