title,author
Camera Lucida: Reflections on Photography,Roland Barthes
Can I Taste It?,David Weaver
Can such things be?: A Collection of Supernatural Fiction,Ambrose Bierce
Canadian Fiction: A Guide to Reading Interests (Genreflecting Advisory Series),Sharron Smith
Candace Reign (Zane Presents),Sharai Robbin
Candide,Voltaire
Candide (A Norton Critical Edition),Voltaire
Candide (Dover Thrift Editions),Voltaire
Candies: A Comedy Composite,Basil H. Johnston
Candy: A Novel of Love and Addiction,Luke Davies
Cane (New Edition),Jean Toomer
Cannibal (A Jack Sigler Thriller Book 7) (Volume 7),Jeremy Robinson
Canterbury Tales by Chaucer,Geoffrey Chaucer
Canyons: A Novel,Samuel Western
Cape Horn and Other Stories from the End of the World (Discoveries),Francisco Coloane
Capitalism: The Unknown Ideal,Ayn Rand
Capone Bloodline: A T-Bone Capone Adventure,Tom Belton
Captain Blood (Penguin Classics),Rafael Sabatini
Captains Courageous (Dramatized),Rudyard Kipling
Capturing the Moon: Classic and Modern Jewish Tales,Edward Feinstein
Cara Massimina: A Novel (Duckworth and the Italian Girls),Tim Parks
Caramelo,Sandra Cisneros
Caramelo: En Espanol (Spanish Edition),Sandra Cisneros
Carey's Trade,Gregory Ast
Caribbee: A Kydd Sea Adventure (Kydd Sea Adventures),Julian Stockwin
Cariboo Magi,Lucia Frangione
Carmilla,J. Sheridan LeFanu
Carmilla: A Critical Edition (Irish Studies),Joseph Le Fanu
Carol (Movie Tie-In),Patricia Highsmith
"Carolina Israelite: How Harry Golden Made Us Care about Jews, the South, and Civil Rights",Kimberly Marlowe Hartnett
Carribbean Discourse: Selected Essays (Caribbean and African Literature),Edouard Glissant
Carried Forward By Hope (# 6 in the Bregdan Chronicles Historical Fiction Romance Series) (Volume 6),Ginny Dye
"Carry On, Jeeves (A Jeeves and Bertie Novel)",P. G. Wodehouse
"Carrying Albert Home: The Somewhat True Story of A Man, His Wife, and Her Alligator",Homer Hickam
Cartel 3: The Last Chapter (The Cartel),Ashley and JaQuavis
Casca #01: Eternal Mercenary,Barry Sadler
Casting the Runes and Other Ghost Stories (Oxford World's Classics),M. R. James
Cat on a Hot Tin Roof,Tennessee Williams
Cat Out of Hell,Lynne Truss
Catalog of Unabashed Gratitude (Pitt Poetry Series),Ross Gay
Catch-22,Joseph Heller
Cathedral of the Black Madonna: The Druids and the Mysteries of Chartres,Jean Markale
Catherine de Valois:  A Play in Three Acts (The Legendary Women of World History) (Volume 2),Laurel A. Rockefeller
Cattle King for a Day (Western Short Stories Collection),L. Ron Hubbard
Catullus,John Ferguson
Catullus and the Poetics of Roman Manhood,David Wray
"Catullus, Tibullus, Pervigilium Veneris (Loeb Classical Library No. 6)",Gaius Valerius Catullus
Caucasia: A Novel,Danzy Senna
"Celebrate Christmas: Easy Dramas, Speeches, and Recitations for Children",Peggy Augustine
Celia's House,D.E. Stevenson
Censorship and the Limits of the Literary: A Global View,Nicole Moore
Centennial: A Novel,James A. Michener
Ceremonies in Dark Old Men: A Play,Lonne Elder III
Ceremony: (Penguin Classics Deluxe Edition),Leslie Marmon Silko
Certain Dark Things: Stories,M.J. Pack
Certain Prey,John Sandford
Changing the Subject: Art and Attention in the Internet Age,Sven Birkerts
Chango's Fire: A Novel,Ernesto Quinonez
Charlie and the Chocolate Factory: a Play,Roald Dahl
Charlotte Bront: A Fiery Heart,Claire Harman
Charlotte's Web (Trophy Newbery),E. B. White
"Chased: A Novella: Titan, Book 3.5",Cristin Harber
Chasing Utopia: A Hybrid,Nikki Giovanni
Chekhov: The Essential Plays (Modern Library Classics),Anton Chekhov
Chekhov's Three Sisters and Woolf's Orlando: Two Renderings for the Stage,Virginia Woolf
Chelsea Girls: A Novel,Eileen Myles
Chemical Theatre,Charles Nicholl
Chemistry,Steven S. Zumdahl
"Chemistry, 11th Edition",Raymond Chang
Cherry,Mary Karr
Chesapeake: A Novel,James A. Michener
Chester Creek Ravine: Haiku,Bart Sutter
"CHEW Omnivore Edition, Vol. 2",John Layman
Chicago Stories (Prairie State Books),James T. Farrell
Childe Harold's Pilgrimage,Lord Byron
Children of Paradise: A Novel (P.S.),Fred D'Aguiar
Children of the Days: A Calendar of Human History,Eduardo Galeano
Chilly Scenes of Winter,Ann Beattie
China Dolls: A Novel,Lisa See
China Men,Maxine Hong Kingston
China Rich Girlfriend: A Novel,Kevin Kwan
"Chinese Link: Beginning Chinese, Simplified Character Version, Level 1/Part 1 (2nd Edition)",Sue-mei Wu
"Chinese Link: Beginning Chinese, Simplified Character Version, Level 1/Part 2 (2nd Edition)",Sue-mei Wu
"Chinese Link: Beginning Chinese, Traditional Character Version, Level 1/Part 2 (2nd Edition)",Sue-mei Wu
Chinese Mythology: An Introduction,Anne M. Birrell
Chinglish (TCG Edition),David Henry Hwang
Chippewa Customs (Publications of the Minnesota Historical Society),Frances Densmore
Chiyo-ni: Woman Haiku Master,Patricia Donegan
Choices (Cole),Noah Gordon
Choir Boy,Tarell Alvin Mccraney
Choir Boy,Tarell Alvin McCraney
Choose Your Own Misery: The Office Adventure,Mike MacDonald
Christ the Lord: Out of Egypt: A Novel,Anne Rice
Christmas at Lilac Cottage: A perfect romance to curl up by the fire with (White Cliff Bay) (Volume 1),Holly Martin
Christmas at Thompson Hall: And Other Christmas Stories (Penguin Christmas Classics),Anthony Trollope
Christmas at Tiffany's: A Novel,Karen Swan
Christmas Bells: A Novel,Jennifer Chiaverini
Christmas Bliss: A Novel,Mary Kay Andrews
Christmas Gifts: A Children's Christmas Play,Valerie Howard
Christmas Lights,Valerie Howard
Christmas on Stage: An Anthology of Royalty-Free Christmas Plays for All Ages,Theodore O. Zapel
Christmas Program Builder No. 50,Paul M. Miller
Christmas Program Builder No. 64: Creative Resources for Program Directors (Lillenas Drama),Heidi Petak
Christopher Durang Volume I: 27 Short Plays,Christopher Durang
Christopher Marlowe: The Complete Plays,Christopher Marlowe
Chronicle of a Death Foretold,Gabriel Garca Mrquez
Chronicle of the Abbey of Bury St. Edmunds (Oxford World's Classics),Jocelin of Brakelond
Cicero and the Jurists,Jill Harries
Cicero: A Portrait (Bristol Classical Paperbacks),Elizabeth Rawson
Cicero: Catilinarians (Cambridge Greek and Latin Classics),Marcus Tullius Cicero
Cicero: On the Orator: Book 3. On Fate. Stoic Paradoxes. On the Divisions of Oratory: A. Rhetorical Treatises (Loeb Classical Library No. 349) (English and Latin Edition),Cicero
Cinnamon and Gunpowder: A Novel,Eli Brown
Cicero: Rhetorica ad Herennium (Loeb Classical Library No. 403) (English and Latin Edition),Cicero
Cien aos de soledad (Spanish Edition),Gabriel Garca Mrquez
Cinderella (Dramatized),Brothers Grimm
Cinderella Skeleton,Robert D. San Souci
Circle of Friends,Maeve Binchy
Circling the Sun: A Novel,Paula McLain
Cities of Salt,Abdelrahman Munif
Cities of the Plain: Border Trilogy (3),Cormac McCarthy
Citizen: An American Lyric,Claudia Rankine
City of Clowns,Daniel Alarcn
City of God,Gil Cuadros
City of God (Penguin Classics),Augustine of Hippo
City of Lost Dreams: A Novel,Magnus Flyte
City of Thieves: A Novel,David Benioff
City on Fire: A novel,Garth Risk Hallberg
City On Fire: A Novelette,Mandy De Sandra
Civil Disobedience and Other Essays (Dover Thrift Editions),Henry David Thoreau
Civil War Stories (Dover Thrift Editions),Ambrose Bierce
CivilWarLand in Bad Decline,George Saunders
Claire of the Sea Light (Vintage Contemporaries),Edwidge Danticat
Clara and Mr. Tiffany: A Novel,Susan Vreeland
Clarissa Pinkola Estes Live: Theatre of the Imagination,Clarissa Pinkola Ests
"Clases de literatura.  Berkeley, 1980 (Spanish Edition)",Julio Cortzar
Clash of Eagles: The Clash of Eagles Trilogy Book I,Alan Smale
Classic Crews: A Harry Crews Reader,Harry Crews
Classic Goosebumps #7: Be Careful What You Wish For,R.L. Stine
"Classic Myths to Read Aloud: The Great Stories of Greek and Roman Mythology, Specially Arranged for Children Five and Up by an Educational Expert",William F. Russell
Classical Greek Prose: A Basic Vocabulary,Malcolm Campbell
Classical Monologues For Men (Audition Speeches),Chrys Salt
Classical Mythology,Mark Morford
Classical Mythology: A Very Short Introduction,Helen Morales
Classical Tragedy - Greek and Roman: Eight Plays in Authoritative Modern Translations,Aeschylus
"Classics Reimagined, Edgar Allan Poe: Stories & Poems",Edgar Allan Poe
"Classics Reimagined, The Wonderful Wizard of Oz",L. Frank Baum
Classics: A Very Short Introduction,Mary Beard
Claudian and the Roman Epic Tradition,Catherine Ware
Cleaning Nabokov's House: A Novel,Leslie Daniels
Clear Light of Day,Anita Desai
Cleopatra's Shadows,Emily Holleman
CliffsComplete Macbeth,William Shakespeare
CliffsComplete Romeo and Juliet,William Shakespeare
CliffsComplete Shakespeare's Hamlet,William Shakespeare
CliffsNotes on Bradbury's Fahrenheit 451,Kristi Hiner
CliffsNotes on Dickens' A Tale of Two Cities (Cliffsnotes Literature Guides),Marie Kalil
CliffsNotes on Fitzgerald's The Great Gatsby (Cliffsnotes Literature Guides),Kate Maurer
CliffsNotes on Golding's Lord of the Flies (Cliffsnotes Literature),Maureen Kelly
CliffsNotes on Homer's Odyssey (Cliffsnotes Literature Guides),Stanley P Baldwin
CliffsNotes on Rand's Anthem (Cliffsnotes Literature Guides),Andrew Bernstein
CliffsNotes on Rand's Atlas Shrugged (Cliffsnotes Literature Guides),Andrew Bernstein
CliffsNotes on Salinger's The Catcher in the Rye (Cliffsnotes Literature Guides),Stanley P. Baldwin
CliffsNotes on Shakespeare's Hamlet (Cliffsnotes Literature Guides),Carla Lynn Stockton
CliffsNotes on Shakespeare's Julius Caesar (Cliffsnotes Literature Guides),James E Vickers
CliffsNotes on Shakespeare's Macbeth (Cliffsnotes Literature),Alex Went
CliffsNotes on Shakespeare's Romeo and Juliet (Cliffsnotes Literature),Annaliese F Connolly
CliffsNotes on Shelley's Frankenstein (Cliffsnotes Literature Guides),Jeff Coghill
Climbing Parnassus: A New Apologia for Greek and Latin,Tracy Lee Simmons
Clipboard Christmas Skits,Tom Spence
"Close Your Eyes, Hold Hands (Vintage Contemporaries)",Chris Bohjalian
Closing Time: The Sequel to Catch-22,Joseph Heller
"Clotel: Or, The President's Daughter: A Narrative of Slave Life in the United States (Bedford Cultural Editions Series)",William Wells Wells Brown
Cloud 9,Caryl Churchill
Cloud Atlas: A Novel (Modern Library),David Mitchell
Cloudstreet: A Novel,Tim Winton
Clybourne Park,Bruce Norris
Coastal Disturbances: Four Plays,Tina Howe
Cobra Trap (Modesty Blaise series),Peter O'Donnell
Coca Kola (The Baddest Chick) Part 2,Nisa Santiago
Cocaine and Champagne: Road To My Recovery,Sherrie Lueder
Coeur de Lion,Ariana Reines
Cold Comfort Farm,Stella Gibbons
Cold Comfort Farm (Penguin Classics Deluxe Edition),Stella Gibbons
Cold-Cocked: On Hockey,Lorna Jackson
Coldheart Canyon: A Hollywood Ghost Story,Clive Barker
Coleridge's Poetry and Prose (Norton Critical Editions),Samuel Taylor Coleridge
"Colic Solved: The Essential Guide to Infant Reflux and the Care of Your Crying, Difficult-to- Soothe Baby",Bryan Vartabedian
Collateral: A Novel,Ellen Hopkins
Collected Fictions,Jorge Luis Borges
Collected Ghost Stories (Oxford World's Classics),M. R. James
Collected Haiku of Yosa Buson,Yosa Buson
Collected Poems,Jack Gilbert
Collected Poems,Philip Larkin
Collected Poems,Robert Hayden
Collected Short Stories: of Percival Christopher Wren (Volume 2),P. C. Wren
Collected Shorter Fiction: Volume 1 (Everyman's Library),Leo Tolstoy
Collected Stories,Gabriel Garcia Marquez
"College Essays That Made a Difference, 6th Edition (College Admissions Guides)",Princeton Review
Color My Fro: A Natural Hair Coloring Book for Big Hair Lovers of All Ages,Crystal Swain-Bates
"Comanche Moon (Lonesome Dove Story, Book 2)",Larry McMurtry
"Combat Ops (Tom Clancy's Ghost Recon, Book 2)",David Michaels
Combined and Uneven Development: Towards a New Theory of World-Literature (Postcolonialism Across the Disciplines LUP),Sharae Deckard
"Come On, Rain",Karen Hesse
Come Rain or Come Shine (A Mitford Novel),Jan Karon
Comedia & Drama (Dionisios) (Volume 1) (Spanish Edition),Carmen Resino
Comedy Scenes for Student Actors: Short Sketches for Young Performers,Laurie Allen
Cometh the Hour (The Clifton Chronicles),Jeffrey Archer
Comfort: A Novel of the Reverse Underground Railroad,H. A. Maxson
Coming to Rosemont,Barbara Hinske
Commodore Hornblower (Hornblower Saga),C. S. Forester
"Common Liar: Essay on ""Antony and Cleopatra"" (Study in English)",Janet Adelman
Como agua para chocolate (Spanish Edition),Laura Esquivel
"Compact Literature: Reading, Reacting, Writing",Laurie G. Kirszner
Comparative Literature 108: Myths and Mythologies Package for Pennsylvania State University,Sidney Aboul-Hosn
Comparative Religion For Dummies,William P. Lazarus
"Compendium of Roman History / Res Gestae Divi Augusti (Loeb Classical Library, No. 152)",Velleius Paterculus
Complete Greek Tragedies Euripides,Euripedes
Complete Greek Tragedies: Aeschylus I,trans Aeschylus / Richmond Lattimore
"Complete Harley 2253 Manuscript, Volume 1 (Middle English Texts)",Susanna Fein
Complete Letters (Oxford World's Classics),Pliny the Younger
Complete Plays of Aristophanes (Bantam Classics),Aristophanes
Complete Poems and Selected Letters of John Keats (Modern Library Classics),John Keats
Complete Poems and Songs of Robert Burns,Robert Burns
Complete Poems of Whitman (Wordsworth Poetry) (Wordsworth Poetry Library),Walt Whitman
"Complete Poems, 1904-1962 (Liveright Classics)",E. E. Cummings
Complete Sonnets and Poems: The Oxford Shakespeare The Complete Sonnets and Poems (Oxford World's Classics),William Shakespeare
Complete Stories (Penguin Classics),Dorothy Parker
Complete Stories and Poems of Edgar Allan Poe,Edgar Allan Poe
Complete Works of Oscar Wilde (Collins Classics),Oscar Wilde
Complete Works of William Shakespeare (Leather-bound Classics),William Shakespeare
Comprehensive Chess Endings Volume 4 Pawn Endings,Yuri Averbakh
Concepts In Solids: Lectures On The Theory Of Solids,Philip Warren Anderson
Concerning the Book that is the Body of the Beloved,Gregory Orr
Concrete Situations (Situations Series) (Volume 1),Crystal Darks
Conde de Montecristo (Coleccion los Inmortales) (Spanish Edition),Alejandro Dumas
Conduit: [A Collection of Poems and Short Stories by Jon Goode],Jon Goode
Confession of the Lioness: A Novel,Mia Couto
Confessions of a Crap Artist,Philip K. Dick
Confessions of a First Lady,Denora M Boone
Confessions of a First Lady 2,Denora M Boone
Confessions of a Mask,Yukio Mishima
Confessions of a Preachers Wife (Urban Christian),Mikasenoja
Confessions of a Wild Child (Lucky: the Early Years),Jackie Collins
Conflict Resolution for Holy Beings: Poems,Joy Harjo
Connemara: Listening to the Wind,Tim Robinson
Conqueror: A Novel of Kublai Khan (The Khan Dynasty),Conn Iggulden
Consequences Of A SideChick: SideChicks,Vladimir Dubois
Consider the Lobster and Other Essays,David Foster Wallace
Consorts of the Caliphs: Women and the Court of Baghdad (Library of Arabic Literature),Ibn al-Sai
Constantinople and the West in Medieval French Literature: Renewal and Utopia (Gallica),Rima Devereaux
Constellation Myths: with Aratus's Phaenomena (Oxford World's Classics),Eratosthenes
Constellations: A Play,Nick Payne
Consumed by Fire (The Fire Series),Anne Stuart
Contact Harvest (Halo),Joseph Staten
Contemporary Chicana Literature: (Re)Writing the Maternal Script,Cristina Herrera
Contested Will: Who Wrote Shakespeare?,James Shapiro
"Continuum: New And Selected Poems, Revised Edition",Mari Evans
Contrition,Maura Weiler
Copenhagen,Michael Frayn
Copper and Stone: stories,Bethany Snyder
Copper Sun,Sharon M. Draper
Coram Boy (Nick Hern Books),Jamila Gavin
Corduroy Mansions (Corduroy Mansions Series),Alexander McCall Smith
Coriolanus (The New Cambridge Shakespeare),William Shakespeare
Coriolanus: Oxford School Shakespeare (Oxford School Shakespeare Series),William Shakespeare
Coronado's Children: Tales of Lost Mines and Buried Treasures of the Southwest (Barker Texas History Center Series),J. Frank Dobie
Corregidora,Gayl Jones
Corrupt City (Urban Books),Tra Verdejo
Corsair (The Oregon Files),Clive Cussler
Cougar Club,Dark Chocolate
Could You Ever Live Without?,David Jones
"Count Magnus and Other Ghost Stories (The Complete Ghost Stories of M. R. James, Vol. 1)",M. R. James
Count the Waves: Poems,Sandra Beasley
"Countdown City: The Last Policeman, Book 2",Ben H. Winters
Countdown: M Day,Tom Kratman
Counternarratives,John Keene
Courage: The Backbone of Leadership,Gus Lee
Coven Thirteen Motorcycle Club: Volume One: Phoenix Fire (Volume 1),C Leigh Addison
Covenant of War (Lion of War Series),Cliff Graham
Coyote Wisdom: The Power of Story in Healing,Lewis Mehl-Madrona
Cracking India: A Novel,Bapsi Sidhwa
Cracks in Her Foundation,Shani Mixon
Cracks In The Sidewalk,Bette Lee Crosby
Cranford (Hardcover Classics),Elizabeth Gaskell
Crash Course: Essays From Where Writing and Life Collide,Robin Black
Crave Radiance: New and Selected Poems 1990-2010,Elizabeth Alexander
Crazy Horse's Girlfriend,Erika T. Wurth
Crazy In Luv 2: Blood Don't Make You Family,La'Tonya West
Crazy Rich Asians,Kevin Kwan
Creating a Scene in Corinth: A Simulation,Reta Halteman Finger
Creation Myths,Marie-Louise Von Franz
Creatures of a Day: And Other Tales of Psychotherapy,Irvin D. Yalom
"Cries for Help, Various: Stories",Padgett Powell
Crime and Punishment,Fyodor Dostoyevsky
Crime and Punishment: Pevear & Volokhonsky Translation (Vintage Classics),Fyodor Dostoevsky
Crimes of the Heart.,Beth Henley
Critique of Pure Reason (Penguin Classics),Immanuel Kant
Cromwell's Place in History: Founded on Six Lectures Delivered in the University of Oxford (Classic Reprint),Samuel Rawson Gardiner
Crooked,Catherine Trieschmann
Crooked Heart: A Novel,Lissa Evans
Crossing Delancey: A Romantic Comedy,Susan Sandler
Crossing to Safety (Modern Library Classics),Wallace Earle Stegner
Crossings: Nietzsche and the Space of Tragedy,John Sallis
Crossroads (Urban Books),Skyy
Crow: From the Life and Songs of the Crow,Ted Hughes
Crowned Heads,Thomas Tryon
"Crowned: Becoming the Woman of my Dreams: The Missing Things Were Goddess Wings: Poems, Prayers, and Love Letters",Sherry Sharp
Crowning Glory (Urban Christian),Pat Simmons
Crumbs from the Table of Joy and Other Plays,Lynn Nottage
Crusade (Destroyermen),Taylor Anderson
Crush (Yale Series of Younger Poets),Richard Siken
"Cry, the Beloved Country",Alan Paton
Cryptos,James R Wylder
Crnica de una muerte anunciada (Spanish Edition),Gabriel Garca Mrquez
Cuatro dias de enero (Best Seller (Debolsillo)) (Spanish Edition),Jordi Sierra
Cuatro ruedas compartidas (Spanish Edition),Mauro Hernandez
Cuentos de Amor de Locura y de Muerte,Horacio Quiroga
Cuentos de Amor de Locura y de Muerte (Spanish Edition),Horacio Quiroga
Cuentos De La Alhambra (1888) (Spanish Edition),Washington Irving
Cultural Amnesia: Necessary Memories from History and the Arts,Clive James
Cultural Intelligence: A Guide to Working with People from Other Cultures,Brooks Peterson
Cupid and Psyche: An Adaptation from The Golden Ass of Apuleius (Latin Edition),Apuleius
Cure for the Common Breakup (Black Dog Bay Novel),Beth Kendrick
Curiosity,Alberto Manguel
Curious Lives: Adventures from the Ferret Chronicles,Richard Bach
Cutting for Stone,Abraham Verghese
Cymbeline (The New Cambridge Shakespeare),William Shakespeare
D'aulaire's Book of Greek Myths,Ingri d'Aulaire
Damaged Goods,Nikki Urban
Damascus Nights,Rafik Schami
Damned,Chuck Palahniuk
Damsels in Distress (Urban Books),Nikita Lynnette Nichols
Dance Hall of the Dead,Tony Hillerman
Dance Me to the End of Love (Art & Poetry),Leonard Cohen
Dancer from the Dance: A Novel,Andrew Holleran
Dancer: A Novel (Picador Modern Classics),Colum McCann
Dancing at Lughnasa,Brian Friel
"Dancing at the Edge of the World: Thoughts on Words, Women, Places",Ursula K. Le Guin
Dancing at the Harvest Moon,K.C. McKinnon
Dancing Dogs: Stories,Jon Katz
Dancing with Butterflies: A Novel,Reyna Grande
Dandelion Through the Crack,Kiyo Sato
Dangerous to Go Alone!: an anthology of gamer poetry,CB Droege
Dangerous Work: Diary of an Arctic Adventure,Arthur Conan Doyle
"Dangerously In Love: ""Blame It on the Streets"" (Volume 1)",Aletta H.
Daniel X: Watch the Skies,James Patterson
"Dante, Poet of the Desert: History and Allegory in the DIVINE COMEDY",Giuseppe Mazzotta
"Dark Celebration: A Carpathian Reunion (The Carpathians (Dark) Series, Book 14)",Christine Feehan
Dark Chaos (# 4 in the Bregdan Chronicles Historical Fiction Romance Series) (Volume 4),Ginny Dye
Dark Infidelity,Shawn Starr
Dark Night of the Soul (Dover Thrift Editions),St. John of the Cross
Dark Sparkler,Amber Tamblyn
Dark Sweet: A Collection of Poetry,Keishi Ando
Dark Watch (The Oregon Files),Clive Cussler
Darkest Flame (Dark Kings),Donna Grant
Das Zeichen der Vier: Ein Sherlock Holmes Roman (German Edition),Arthur Conan Doyle
Dashing Through the Snow - Acting Edition,"Nicholas Hope, and Jamie Wooten Jessie Jones"
Dashing Through the Snow: A Christmas Novel (Random House Large Print),Debbie Macomber
Daughter of Fortune: A Novel,Isabel Allende
Daughters of Copper Woman,Anne Cameron
David Copperfield (Penguin Classics),Charles Dickens
"David Foster Wallace's Infinite Jest: A Reader's Guide, 2nd Edition",Stephen J. Burn
Dawn,Elie Wiesel
Day After Night: A Novel,Anita Diamant
Day: A Novel,Elie Wiesel
Days Of Poetry: My writing,Genna Beth Strachan
De Nerval: Selected Writings (Penguin Classics),Gerard de Nerval
De Profundis,Oscar Wilde
De Profundis and Other Prison Writings (Penguin Classics),Oscar Wilde
De Shootinest Gent'man & Other Tales,Nash Buckingham
Dead Cert,Dick Francis
Dead Man's Cell Phone (TCG Edition),Sarah Ruhl
Dead Man's Hand: An Anthology of the Weird West,John Joseph Adams
Dead Man's Walk (Lonesome Dove),Larry McMurtry
Dead Men's Boots,Mike Carey
Dead Shot: A Sniper Novel,Jack Coughlin
Dead Six,Larry Correia
Dead Solid Perfect,Dan Jenkins
Deadlight Hall: A haunted house mystery (A Nell West and Michael Flint Haunted House Story),Sarah Rayne
Deadline,Sandra Brown
Deadly Deals (Sisterhood),Fern Michaels
Deadtown Abbey: An Undead Homage,Sean Hoade
Deaf Sentence: A Novel,David Lodge
Deal Breaker: The First Myron Bolitar Novel,Harlan Coben
Dear and Glorious Physician: A Novel about Saint Luke,Taylor Caldwell
Dear Emily,Fern Michaels
Dear Miss Breed: True Stories of the Japanese American Incarceration During World War II and a Librarian Who Made a Difference,Joanne Oppenheim
"Dear Santa: Children's Christmas Letters and Wish Lists, 1870 - 1920",Chronicle Books
Death and Taxes: Hydriotaphia and Other Plays,Tony Kushner
Death and the King's Horseman: A Play,Wole Soyinka
"Death and the King's Horseman: Authoritative Text, Backgrounds and Contexts, Criticism, Norton",Wole Soyinka
Death and the Maiden,Ariel Dorfman
Death at Tammany Hall (A Gilded Age Mystery),Charles O'Brien
Death Before Compline: Short Stories,Sharan Newman
Death Before Wicket: A Phryne Fisher Mystery,Kerry Greenwood
Death by Facebook,Everett Peacock
Death by Water,Kenzaburo Oe
Death Comes for the Archbishop (Vintage Classics),Willa Cather
Death Defying Acts,Woody Allen
Death du Jour (Temperance Brennan Novels),Kathy Reichs
Death in the Afternoon,Ernest Hemingway
Death in the Andes: A Novel,Mario Vargas Llosa
Death in Venice (Dover Thrift Editions),Thomas Mann
Death of a Salesman (Penguin Plays),Arthur Miller
Death of Kings (Saxon Tales),Bernard Cornwell
Death or Liberty: African Americans and Revolutionary America,Douglas R. Egerton
Death Rides the River: A Joshua Miller Adventure (Joshua Miller Series) (Volume 2),Wayne Lincourt
Death Traps: The Survival of an American Armored Division in World War II,Belton Y. Cooper
Debbie Doesn't Do It Anymore (Vintage Crime/Black Lizard),Walter Mosley
December (Seagull Books - The German List),Alexander Kluge
Decolonising the Mind (Studies in African Literature),Ngugi Wa Thiong'O
Decolonising the Mind: The Politics of Language in African Literature,Ngugi wa Thiong'o
"Decreation: Poetry, Essays, Opera",Anne Carson
Deep Down True: A Novel,Juliette Fay
Defence Speeches (Oxford World's Classics),Cicero
Del amor y otros demonios (Spanish Edition),Gabriel Garca Mrquez
Delicious!: A Novel,Ruth Reichl
Deliverance (Modern Library 100 Best Novels),James Dickey
"Demelza: A Novel of Cornwall, 1788-1790 (Poldark)",Winston Graham
"Demons (Everyman's Library, 182)",Fyodor Dostoevsky
Demons (Penguin Classics),Fyodor Dostoevsky
Demons: A Novel in Three Parts (Vintage Classics),Fyodor Dostoevsky
Der Kleine Prinz (German),Antoine de Saint-Exupry
Der Lehnsmann und das Hexenweib (German Edition),Annika Stinner
Der Traum ein Leben: Dramatisches Mrchen in vier Aufzgen (German Edition),Franz Grillparzer
Der Wildtdter (TREDITION CLASSICS) (German Edition),James Fenimore Cooper
Derailed,Dave Jackson
Descent to the Goddess: A Way of Initiation for Women,Sylvia Brinton Perera
Desdemona (Oberon Modern Plays),Toni Morrison
"Desert Sun, Red Blood",E. W. Farnsworth
"Desire and Anxiety: Circulations of Sexuality in Shakespearean Drama (Gender, Culture, Difference)",Valerie Traub
Desire and the Female Therapist: Engendered Gazes in Psychotherapy and Art Therapy,Joy Schaverien
"Desolation Island  (The Aubrey/Maturin Novels, Book 5)",Patrick O'Brian
Desperately Seeking Exclusivity (Volume 1),Christopher Markland
Detroit '67,Dominique Morisseau
Developing Minds: An American Ghost Story,Jonathan LaPoma
Deviants,Peter Kline
Devices and Desires (Engineer Trilogy),K. J. Parker
Devil Knows: A Tale of Murder and Madness in America's First Century,David Joseph Kolb
Devil on the Cross (Heinemann African Writers Series),Ngugi wa Thiong'o
"Devil's Gate (Numa Files, Book 9)",Clive Cussler
Devils (Oxford World's Classics),Fyodor Dostoevsky
Dewdrops on a Lotus Leaf: Zen Poems of Ryokan,Ryokan
Dia's Story Cloth: The Hmong People's Journey of Freedom,Dia Cha
Diamond Head: A Novel,Cecily Wong
Diaries 1969-1979: The Python Years (Michael Palin Diaries),Michael Palin
"Diaries: Diary and Autobiographical Writings of Louisa Catherine Adams, Volumes 1 and 2: 1778-1849 (Adams Papers)",Louisa Catherine Adams
Diary (The Margellos World Republic of Letters),Witold Gombrowicz
Diary of a Mad Bride,Laura Wolf
Diary of a Mad Diva,Joan Rivers
Diary Of An Oxygen Thief,Anonymous
"Diasporic Dis(locations): Indo-Caribbean Women Writers Negotiate the ""Kala Pani""",Brinda J. Mehta
Dick Francis's Damage,Felix Francis
Dick Francis's Gamble,Felix Francis
Dickens at Christmas (Vintage Classics),Charles Dickens
Dickinson: Poems (Everyman's Library Pocket Poets),Emily Dickinson
Dickinson's Misery: A Theory of Lyric Reading,Virginia Jackson
Dictee,Theresa Hak Kyung Cha
Did You Ever Have A Family,Bill Clegg
Dien Cai Dau (Wesleyan Poetry Series),Yusef Komunyakaa
Different Seasons (Signet),Stephen King
Digest (Stahlecker Selections),Gregory Pardlo
Digging into Literature,Joanna Wolfe
Digital Mammals,Luiz Mauricio Azevedo
Dilemma of a Ghost and Anowa,Ama Ata Aidoo
Dime quin soy (Spanish Edition),Julia Navarro
Dinner with Buddha,Roland Merullo
Din Bahane': The Navajo Creation Story,Paul G. Zolbrod
"Dionysius of Halicarnassus: Roman Antiquities, Volume VI. Books 9.25-10 (Loeb Classical Library No. 378)",Dionysius of Halicarnassus
Directed by Desire: The Collected Poems of June Jordan,June Jordan
Dirty Divorce part 4 (The Dirty Divorce) (Volume 4),Miss KP
"Dirty Little Secrets: A J.J. Graves Mystery, Book 1",Liliana Hart
Dirty Money (Urban Books),Ashley and JaQuavis
Dirty Pretty Things,Michael Faudet
Dirty Rush,Taylor Bell
"Disappearing Acts: Spectacles of Gender and Nationalism in Argentina's ""Dirty War""",Diana Taylor
Disappearing Man,Doug Peterson
"Disarming: Reign of Blood, Book 2",Alexia Purdy
Disco for the Departed (A Dr. Siri Paiboun Mystery),Colin Cotterill
Disgraced: A Play,Ayad Akhtar
Disgruntled: A Novel,Asali Solomon
